# Harris-Priester coefficients from local MATLAB HPOP HPcoeff.m
# density columns are HPOP gram/km^3 values; runtime converts to kg/m^3.
f107,altitude_km,rho_min_g_km3,rho_max_g_km3
100,9.0000000e+02,1.5000000e-06,9.0000000e-06
100,9.5000000e+02,1.2000000e-06,6.2000000e-06
100,1.0000000e+03,9.4000000e-07,5.0000000e-06
100,1.1000000e+03,5.8000000e-07,3.1000000e-06
100,1.2000000e+03,3.7500000e-07,2.1000000e-06
100,1.3000000e+03,2.5000000e-07,1.5000000e-06
100,1.4000000e+03,1.7000000e-07,1.1000000e-06
100,1.5000000e+03,1.1800000e-07,7.7000000e-07
100,1.6000000e+03,8.2000000e-08,6.0000000e-07
100,1.7000000e+03,6.0000000e-08,5.0000000e-07
100,1.8000000e+03,4.3000000e-08,3.9000000e-07
100,1.9000000e+03,3.2000000e-08,3.1000000e-07
100,2.0000000e+03,2.4000000e-08,2.5000000e-07
125,1.1000000e+02,7.8000000e+01,7.8000000e+01
125,1.2000000e+02,2.4900000e+01,2.4900000e+01
125,1.3000000e+02,8.5670000e+00,8.9200000e+00
125,1.4000000e+02,3.9520000e+00,4.1130000e+00
125,1.5000000e+02,2.1110000e+00,2.2020000e+00
125,1.6000000e+02,1.2260000e+00,1.3140000e+00
125,1.7000000e+02,7.5720000e-01,8.4110000e-01
125,1.8000000e+02,4.8640000e-01,5.6720000e-01
125,1.9000000e+02,3.2550000e-01,3.9890000e-01
125,2.0000000e+02,2.2430000e-01,2.8890000e-01
125,2.1000000e+02,1.5670000e-01,2.1590000e-01
125,2.2000000e+02,1.1180000e-01,1.6440000e-01
125,2.3000000e+02,8.1150000e-02,1.2720000e-01
125,2.4000000e+02,5.9870000e-02,9.9780000e-02
125,2.5000000e+02,4.4790000e-02,7.9130000e-02
125,2.6000000e+02,3.3940000e-02,6.3360000e-02
125,2.7000000e+02,2.6000000e-02,5.1160000e-02
125,2.8000000e+02,2.0110000e-02,4.1630000e-02
125,2.9000000e+02,1.5700000e-02,3.4090000e-02
125,3.0000000e+02,1.2310000e-02,2.8090000e-02
125,3.2000000e+02,7.6750000e-03,1.9530000e-02
125,3.4000000e+02,4.8940000e-03,1.3850000e-02
125,3.6000000e+02,3.1780000e-03,9.9760000e-03
125,3.8000000e+02,2.0940000e-03,7.2820000e-03
125,4.0000000e+02,1.3970000e-03,5.3760000e-03
125,4.2000000e+02,9.6250000e-04,4.0330000e-03
125,4.4000000e+02,6.5520000e-04,3.0340000e-03
125,4.6000000e+02,4.4970000e-04,2.2990000e-03
125,4.8000000e+02,3.1090000e-04,1.7540000e-03
125,5.0000000e+02,2.1660000e-04,1.3460000e-03
125,5.2000000e+02,1.5200000e-04,1.0380000e-03
125,5.4000000e+02,1.0760000e-04,8.0430000e-04
125,5.6000000e+02,7.6850000e-05,6.2600000e-04
125,5.8000000e+02,5.5450000e-05,4.8920000e-04
125,6.0000000e+02,4.0470000e-05,3.8380000e-04
125,6.2000000e+02,2.9920000e-05,3.0220000e-04
125,6.4000000e+02,2.2440000e-05,2.3880000e-04
125,6.6000000e+02,1.7100000e-05,1.8940000e-04
125,6.8000000e+02,1.3250000e-05,1.5070000e-04
125,7.0000000e+02,1.0450000e-05,1.2040000e-04
125,7.2000000e+02,8.3970000e-06,9.6580000e-05
125,7.4000000e+02,6.8670000e-06,7.7770000e-05
125,7.6000000e+02,5.7130000e-06,6.2890000e-05
125,7.8000000e+02,4.8300000e-06,5.1090000e-05
125,8.0000000e+02,4.1430000e-06,4.1700000e-05
125,8.5000000e+02,3.1500000e-06,2.7000000e-05
125,9.0000000e+02,2.2500000e-06,1.8000000e-05
125,9.5000000e+02,1.7200000e-06,1.2000000e-05
125,1.0000000e+03,1.4000000e-06,8.8000000e-06
125,1.1000000e+03,8.5000000e-07,5.3000000e-06
125,1.2000000e+03,5.4000000e-07,3.2000000e-06
125,1.3000000e+03,3.8000000e-07,2.2500000e-06
125,1.4000000e+03,2.8000000e-07,1.5000000e-06
125,1.5000000e+03,1.9500000e-07,1.0300000e-06
125,1.6000000e+03,1.3500000e-07,8.0000000e-07
125,1.7000000e+03,1.0200000e-07,6.5000000e-07
125,1.8000000e+03,7.4000000e-08,5.2000000e-07
125,1.9000000e+03,5.6000000e-08,4.2500000e-07
125,2.0000000e+03,4.4000000e-08,3.4000000e-07
150,1.1000000e+02,7.8000000e+01,7.8000000e+01
150,1.2000000e+02,2.4900000e+01,2.4900000e+01
150,1.3000000e+02,8.3770000e+00,8.7100000e+00
150,1.4000000e+02,3.8990000e+00,4.0590000e+00
150,1.5000000e+02,2.1220000e+00,2.2150000e+00
150,1.6000000e+02,1.2630000e+00,1.3440000e+00
150,1.7000000e+02,8.0080000e-01,8.7580000e-01
150,1.8000000e+02,5.2830000e-01,6.0100000e-01
150,1.9000000e+02,3.6170000e-01,4.2970000e-01
150,2.0000000e+02,2.5570000e-01,3.1620000e-01
150,2.1000000e+02,1.8390000e-01,2.3960000e-01
150,2.2000000e+02,1.3410000e-01,1.8530000e-01
150,2.3000000e+02,9.9490000e-02,1.4550000e-01
150,2.4000000e+02,7.4880000e-02,1.1570000e-01
150,2.5000000e+02,5.7090000e-02,9.3080000e-02
150,2.6000000e+02,4.4030000e-02,7.5550000e-02
150,2.7000000e+02,3.4300000e-02,6.1820000e-02
150,2.8000000e+02,2.6970000e-02,5.0950000e-02
150,2.9000000e+02,2.1390000e-02,4.2260000e-02
150,3.0000000e+02,1.7080000e-02,3.5260000e-02
150,3.2000000e+02,1.0990000e-02,2.5110000e-02
150,3.4000000e+02,7.2140000e-03,1.8190000e-02
150,3.6000000e+02,4.8240000e-03,1.3370000e-02
150,3.8000000e+02,3.2740000e-03,9.9550000e-03
150,4.0000000e+02,2.2490000e-03,7.4920000e-03
150,4.2000000e+02,1.5580000e-03,5.6840000e-03
150,4.4000000e+02,1.0910000e-03,4.3550000e-03
150,4.6000000e+02,7.7010000e-04,3.3620000e-03
150,4.8000000e+02,5.4740000e-04,2.6120000e-03
150,5.0000000e+02,3.9160000e-04,2.0420000e-03
150,5.2000000e+02,2.8190000e-04,1.6050000e-03
150,5.4000000e+02,2.0420000e-04,1.2670000e-03
150,5.6000000e+02,1.4880000e-04,1.0050000e-03
150,5.8000000e+02,1.0920000e-04,7.9970000e-04
150,6.0000000e+02,8.0700000e-05,6.3900000e-04
150,6.2000000e+02,6.0120000e-05,5.1230000e-04
150,6.4000000e+02,4.5190000e-05,4.1210000e-04
150,6.6000000e+02,3.4300000e-05,3.3250000e-04
150,6.8000000e+02,2.6320000e-05,2.6910000e-04
150,7.0000000e+02,2.0430000e-05,2.1850000e-04
150,7.2000000e+02,1.6070000e-05,1.7790000e-04
150,7.4000000e+02,1.2810000e-05,1.4520000e-04
150,7.6000000e+02,1.0360000e-05,1.1900000e-04
150,7.8000000e+02,8.4960000e-06,9.7760000e-05
150,8.0000000e+02,7.0690000e-06,8.0590000e-05
150,8.5000000e+02,4.8000000e-06,5.5000000e-05
150,9.0000000e+02,3.3000000e-06,3.7000000e-05
150,9.5000000e+02,2.4500000e-06,2.4000000e-05
150,1.0000000e+03,1.9000000e-06,1.7000000e-05
150,1.1000000e+03,1.1800000e-06,8.7000000e-06
150,1.2000000e+03,7.5000000e-07,4.8000000e-06
150,1.3000000e+03,5.3000000e-07,3.2000000e-06
150,1.4000000e+03,4.1000000e-07,2.0000000e-06
150,1.5000000e+03,2.9000000e-07,1.3500000e-06
150,1.6000000e+03,2.0000000e-07,9.5000000e-07
150,1.7000000e+03,1.6000000e-07,7.7000000e-07
150,1.8000000e+03,1.2000000e-07,6.3000000e-07
150,1.9000000e+03,9.6000000e-08,5.2000000e-07
150,2.0000000e+03,7.3000000e-08,4.4000000e-07
175,1.1000000e+02,7.8000000e+01,7.8000000e+01
175,1.2000000e+02,2.4900000e+01,2.4900000e+01
175,1.3000000e+02,8.2390000e+00,8.5770000e+00
175,1.4000000e+02,3.8580000e+00,4.0210000e+00
175,1.5000000e+02,2.1230000e+00,2.2180000e+00
175,1.6000000e+02,1.2830000e+00,1.3630000e+00
175,1.7000000e+02,8.2460000e-01,8.9970000e-01
175,1.8000000e+02,5.5380000e-01,6.2510000e-01
175,1.9000000e+02,3.8480000e-01,4.5140000e-01
175,2.0000000e+02,2.7600000e-01,3.3620000e-01
175,2.1000000e+02,2.0190000e-01,2.5690000e-01
175,2.2000000e+02,1.4950000e-01,2.0080000e-01
175,2.3000000e+02,1.1240000e-01,1.5930000e-01
175,2.4000000e+02,8.5790000e-02,1.2800000e-01
175,2.5000000e+02,6.6260000e-02,1.0400000e-01
175,2.6000000e+02,5.1740000e-02,8.5220000e-02
175,2.7000000e+02,4.0790000e-02,7.0410000e-02
175,2.8000000e+02,3.2440000e-02,5.8580000e-02
175,2.9000000e+02,2.6000000e-02,4.9040000e-02
175,3.0000000e+02,2.0870000e-02,4.1310000e-02
175,3.2000000e+02,1.3680000e-02,2.9910000e-02
175,3.4000000e+02,9.1570000e-03,2.2010000e-02
175,3.6000000e+02,6.2380000e-03,1.6430000e-02
175,3.8000000e+02,4.3130000e-03,1.2410000e-02
175,4.0000000e+02,3.0190000e-03,9.4750000e-03
175,4.2000000e+02,2.1340000e-03,7.2930000e-03
175,4.4000000e+02,1.5230000e-03,5.6650000e-03
175,4.6000000e+02,1.0960000e-03,4.4330000e-03
175,4.8000000e+02,7.9340000e-04,3.4910000e-03
175,5.0000000e+02,5.7820000e-04,2.7660000e-03
175,5.2000000e+02,4.2370000e-04,2.2030000e-03
175,5.4000000e+02,3.1220000e-04,1.7630000e-03
175,5.6000000e+02,2.3130000e-04,1.4170000e-03
175,5.8000000e+02,1.7230000e-04,1.1430000e-03
175,6.0000000e+02,1.2900000e-04,9.2580000e-04
175,6.2000000e+02,9.7240000e-05,7.5230000e-04
175,6.4000000e+02,7.3740000e-05,6.1330000e-04
175,6.6000000e+02,5.6310000e-05,5.0140000e-04
175,6.8000000e+02,4.3340000e-05,4.1110000e-04
175,7.0000000e+02,3.3630000e-05,3.3800000e-04
175,7.2000000e+02,2.6340000e-05,2.7870000e-04
175,7.4000000e+02,2.0840000e-05,2.3030000e-04
175,7.6000000e+02,1.6660000e-05,1.9080000e-04
175,7.8000000e+02,1.3470000e-05,1.5850000e-04
175,8.0000000e+02,1.1030000e-05,1.3200000e-04
175,8.5000000e+02,7.8000000e-06,9.2000000e-05
175,9.0000000e+02,5.1000000e-06,6.3000000e-05
175,9.5000000e+02,3.4500000e-06,4.1000000e-05
175,1.0000000e+03,2.6000000e-06,2.8500000e-05
175,1.1000000e+03,1.6000000e-06,1.4000000e-05
175,1.2000000e+03,1.0000000e-06,7.4000000e-06
175,1.3000000e+03,7.0000000e-07,4.3000000e-06
175,1.4000000e+03,5.4300000e-07,2.6000000e-06
